'TEINH9', 'Vip', 'Fam181b', 'Gm8797', 'Egln3', 'Usp28', 'Kcnip1'
'OBINH5', 'Crh', 'Tcap', 'Pgam2', 'Pde1c', 'Nxph1', 'Pygm'
'TEINH5', 'Vip', 'Tiam1', 'Myl1', 'Vwc2', 'Dlx6os1', 'Prox1os'
'TEINH6', 'Tac2', 'Epha7', 'Npas1', 'Rgs12', 'Nr2f2', 'March1'
'TEINH7', 'Htr3a', 'Mns1', 'Npas1', 'Qpct', 'Usp28', 'Stmn1'
'TEINH8', 'Vip', 'Ccne1', 'Myl1', 'Cidea', 'Usp28', 'Pcdh8'
'TEINH4', 'Vip', 'Gm17750', 'Cxcl14', 'Adra1b', 'Dlx6os1', 'Kcnip1'
'TEINH20', 'Cyp26b1', 'Stk32b', 'Chrm2', 'Tcerg1l', 'Nell1', 'Grik1'
'TEINH13', 'Ibsp', 'Cnr1', 'Ntng1', 'Rgs8', 'Arx', 'Unc5d'
'TEINH14', 'Cplx3', 'Teddm3', 'Reln', 'Gad2', 'Parm1', 'Kcnip1'
'TEINH16', 'Lhx6', 'Pde11a', 'Hapln1', 'Ngf', 'Kcns3', 'Vstm2a'
'TEINH15', 'Npy', 'Ptchd2', 'Pnoc', 'Gad2', 'Resp18', 'Arl4c'
'TEINH19', 'Sst', 'Ccna1', 'Elfn1', 'Lypd6', 'Lypd6b', 'Rab3b'
'TEINH21', 'Crhbp', 'Tacr1', 'Chodl', 'Gm11744', 'Cygb', 'Klf5'
'HYPEP7', 'Pmch', 'Nkx2-1', 'Otx1', 'Klhl13', 'Fam46a', 'Gstm6'
'HYPEP6', 'Hcrt', 'Pdyn', 'Trhr', 'Plagl1', 'Pcsk1', 'Nptx2'
'DEINH8', 'Six6', 'Rgs16', 'Pkib', 'Scg2', 'Rab26os', 'B630019K06Rik'
'MBDOP1', 'En1', 'Npw', 'Ret', 'D930028M14Rik', 'C130021I20Rik', 'Pou2f2'
'MBDOP2', 'Slc6a3', 'Chrna6', 'Chrnb3', 'Ddc', 'Aldh1a1', 'Chrna4'
'MEGLU14', 'Cartpt', 'Ucn', 'Chodl', 'Gm15469', 'Sdc1', 'Foxa2'
'MEGLU11', 'En1', 'Sema3f', 'Ndst4', 'Inadl', 'Plcxd2', 'Mab21l1'
'MEGLU10', 'En1', 'Ngb', 'Ndst4', 'AW551984', 'Zfhx4', 'Mab21l1'
'MEGLU9', 'Tcf7l2', 'Zfp239', 'Cbln2', 'AW551984', 'Zfhx4', 'Usp29'
'MEGLU8', 'Lhx9', 'Tfap2d', 'Adcyap1', 'Fam84a', 'Tmem91', 'Runx1t1'
'MEGLU7', 'Tcf7l2', 'Coro6', 'Tpbg', 'Vstm2b', 'Plk5', 'Hapln4'
'MEGLU6', 'Npnt', 'Gpc3', 'Tmem132c', 'Kcnd3', 'Tpd52l1', 'Scn3a'
'DEGLU5', 'Tcf7l2', 'Cabp7', 'Htr2c', 'Gm13205', 'Gm13629', 'Chrna4'
'MEGLU2', 'Tac1', 'Trim66', 'Hap1', 'Cd83', 'Rasgrf2', 'Gm28050'
'MEGLU3', 'Cartpt', 'Pou4f2', 'Foxp2', 'Ctxn2', 'Rnd1', 'Nptx2'
'MEGLU1', 'Syt2', 'Oscp1', 'Vamp1', 'Cd83', 'Scn1a', 'Nova1'
'MEGLU5', 'Barhl1', 'Myh8', 'Rorb', 'Col25a1', 'Cdh7', 'Gabrg1'
'MEGLU4', 'Barhl1', 'Kcnab1', 'Sorcs1', 'Col25a1', 'Cpne9', 'Pcdh8'
'DEGLU4', 'Cbln1', 'Megf11', 'Cbln4', 'Wnt4', 'Lypd6b', 'Rhbdl3'
'DEGLU3', 'Slc17a6', 'Gbx2', 'Foxp2', 'Necab1', 'Cpne7', 'Rab3c'
'OBNBL1', 'Doc2g', 'Ms4a15', 'Cdhr1', 'Shisa3', 'Atp6ap1l', 'Tbx21'
'MBCHO1', 'Evx1os', 'Gm2694', 'Drd5', 'Bnc2', 'Evx1', 'Pou3f2'
'HBGLU9', 'Kcng4', 'Htr1b', 'Glra1', 'Scn4b', 'Kcnab3', 'Ank1'
'SCGLU1', 'Hoxc10', 'Mab21l2', 'Glra1', 'Tlx3', 'Lhfpl5', 'Vstm2l'
'HBGLU10', 'Ebf2', 'Zmym1', 'Ebf1', 'Tshz3', 'Tunar', 'Ccdc184'
'SCGLU10', 'Nts', 'Pla2g5', 'Glra1', 'C1ql3', 'Resp18', 'Vstm2l'
'HBGLU2', 'Slc17a6', 'Prlr', 'Gprasp2', 'AW551984', 'Rab9b', 'Elavl2'
'HBGLU3', 'Gpr101', 'Hoxc4', 'Ebf1', 'AW551984', 'Rab9b', 'Hotairm1'
